datetime,date,hour,wind_speed_ms,wind_direction_deg,wind_vx,wind_vy
2025-10-09 08:00:00,2025-10-09,8,2.67,324.6,-1.5466807301549526,2.1763912145952395
2025-10-09 09:00:00,2025-10-09,9,2.79,342.9,-0.820372507398129,2.6666625112873406
2025-10-09 10:00:00,2025-10-09,10,2.59,354.0,-0.27072871986322233,2.5758117090038275
2025-10-09 11:00:00,2025-10-09,11,2.41,2.1,0.08831133798280064,2.4083814290065617
2025-10-09 12:00:00,2025-10-09,12,2.26,3.0,0.11827926110905305,2.2569027485453366
2025-10-09 13:00:00,2025-10-09,13,2.18,358.7,-0.049458387188664694,2.1794388883234825
2025-10-09 14:00:00,2025-10-09,14,2.2,354.3,-0.21850344943600644,2.189122253914698
2025-10-09 15:00:00,2025-10-09,15,2.27,355.2,-0.18994870436435696,2.2620387904963746
2025-10-09 16:00:00,2025-10-09,16,2.19,358.4,-0.06114838880461647,2.189146151938376
2025-10-09 17:00:00,2025-10-09,17,1.97,1.7,0.05844250084766819,1.9691329244351865
2025-10-09 18:00:00,2025-10-09,18,1.74,5.9,0.17885901400980944,1.7307829017838832
2025-10-09 19:00:00,2025-10-09,19,1.82,6.6,0.2091856138970172,1.8079384333927215
2025-10-09 20:00:00,2025-10-09,20,1.8,4.1,0.12869539979883465,1.7953934092756991
2025-10-09 21:00:00,2025-10-09,21,1.76,356.1,-0.11970691157083599,1.7559243307506653
2025-10-09 22:00:00,2025-10-09,22,1.75,344.8,-0.45883106262151274,1.6887788653265452
2025-10-09 23:00:00,2025-10-09,23,1.79,334.6,-0.76779388879163,1.6169701742253089
2025-10-10 00:00:00,2025-10-10,0,1.87,325.0,-1.072587935976457,1.5318143228204144
2025-10-10 01:00:00,2025-10-10,1,1.96,319.3,-1.278112871507568,1.4859432989473988
2025-10-10 02:00:00,2025-10-10,2,2.12,317.5,-1.4322512401452003,1.5630279540374628
2025-10-10 03:00:00,2025-10-10,3,2.49,319.1,-1.6303046261561749,1.8820751382274237
2025-10-10 04:00:00,2025-10-10,4,2.93,323.3,-1.7510416806382758,2.3492026376342006
2025-10-10 05:00:00,2025-10-10,5,3.22,326.7,-1.7678534739539855,2.6912997036058295
2025-10-10 06:00:00,2025-10-10,6,3.35,327.9,-1.7801852413855803,2.837858436630158
2025-10-10 07:00:00,2025-10-10,7,3.99,329.8,-2.007049587054639,3.448456459795281
2025-10-10 08:00:00,2025-10-10,8,4.29,334.6,-1.8401317222994933,3.8753084063835614
2025-10-10 09:00:00,2025-10-10,9,4.38,340.9,-1.4332143975284786,4.138876235249984
2025-10-10 10:00:00,2025-10-10,10,3.98,344.8,-1.0435129309906406,3.8407656479998
2025-10-10 11:00:00,2025-10-10,11,3.69,346.7,-0.8488835302241053,3.5910300405474556
2025-10-10 12:00:00,2025-10-10,12,3.68,348.2,-0.752545470777788,3.602231990643001
2025-10-10 13:00:00,2025-10-10,13,3.75,349.6,-0.6769467946895985,3.688393015550197
2025-10-10 14:00:00,2025-10-10,14,3.78,350.6,-0.6173721372733314,3.7292427708743445
2025-10-10 15:00:00,2025-10-10,15,3.6,351.8,-0.5134641613398429,3.56319443126804
2025-10-10 16:00:00,2025-10-10,16,3.11,352.6,-0.4005543053562181,3.0840973150114115
2025-10-10 17:00:00,2025-10-10,17,2.23,352.3,-0.29878919348279104,2.209892535364085
2025-10-10 18:00:00,2025-10-10,18,1.72,351.0,-0.2690672798691975,1.6988239458236367
2025-10-10 19:00:00,2025-10-10,19,1.71,349.2,-0.3204220479415892,1.6797111987460578
2025-10-10 20:00:00,2025-10-10,20,1.67,346.1,-0.40118083093702933,1.6210965242355788
2025-10-10 21:00:00,2025-10-10,21,1.66,339.2,-0.5894775575975073,1.551810622817384
2025-10-10 22:00:00,2025-10-10,22,1.68,329.9,-0.8425380384278889,1.4534543865571032
2025-10-10 23:00:00,2025-10-10,23,1.74,320.8,-1.099730986636841,1.3484034103452722
