Disease,Variable,Variable_Code,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Significant
Virosis,Wind Velocity Magnitude (m/s),velocity_magnitude,-0.028463164349488992,0.8925670023685631,-0.031323027878410764,0.8818431601526892,No
Virosis,Resultant Wind Velocity (m/s),resultant_velocity,-0.04144996848420949,0.8440438706761358,-0.03373249156136544,0.8728238004234421,No
Virosis,East-West Component Vx (m/s),vx_mean,-0.24712004863331868,0.23368382520804595,-0.25660788223467285,0.2156366853910267,No
Virosis,North-South Component Vy (m/s),vy_mean,0.31328057477899074,0.12728611560845107,0.31082081510115306,0.1304615582171203,No
Virosis,Wind Direction (degrees),wind_direction_deg_mean,0.2205646285375782,0.28938099271757556,0.22889904988069404,0.27107317145442067,No
Virosis,Direction Variability (std),direction_variability,0.19074314994649783,0.36107743965150574,0.21685173146592068,0.297781085194302,No
