Disease,Count_2024,Mean_2024,Count_2025,Mean_2025,Difference_Count,Difference_Mean
Pebrine,6,0.20689655172413793,11.0,0.13580246913580246,5.0,-0.07109408258833547
Virosis,17,0.5862068965517241,68.0,0.8395061728395061,51.0,0.25329927628778204
Bacteriosis,6,0.20689655172413793,11.0,0.13580246913580246,5.0,-0.07109408258833547
